vehicle_id,driver_id,make,model,year,license_plate,color,is_active
1,7,Honda,CR-V,2024,OP331,Grey,True
2,10,Hyundai,Sonata,2026,WK520,Black,True
3,19,Ford,Fusion,2022,LI224,Black,True
4,25,Toyota,RAV4,2015,FN542,Black,True
5,26,Hyundai,Sonata,2016,CS875,Grey,True
6,28,Toyota,Corolla,2022,WA559,Red,True
7,29,Tesla,Model Y,2020,HZ476,Blue,True
8,36,Tesla,Model Y,2022,QI594,Black,True
9,43,Hyundai,Elantra,2016,EF804,Red,True
10,44,Honda,CR-V,2018,PG877,Silver,True
11,47,Toyota,Prius,2015,MX310,Grey,True
12,53,Honda,Civic,2017,EO471,Blue,False
13,54,Nissan,Altima,2022,XG737,Red,True
14,55,Hyundai,Sonata,2026,FB387,Black,True
15,56,Nissan,Rogue,2017,WF204,Grey,True
16,59,Ford,Focus,2019,FU698,Silver,True
17,67,Nissan,Altima,2026,EP705,Red,False
18,75,Tesla,Model 3,2017,DD192,Grey,True
19,76,Ford,Fusion,2017,YC916,Black,True
20,78,Hyundai,Elantra,2015,OL860,Red,True
21,87,Honda,Accord,2025,UP602,Black,True
22,91,Hyundai,Tucson,2026,NT272,Black,True
23,94,Hyundai,Tucson,2022,DP346,Black,True
24,97,Ford,Fusion,2020,DN733,Red,True
25,98,Toyota,RAV4,2021,FB548,Black,True
26,101,Hyundai,Elantra,2021,YJ686,Silver,True
27,102,Hyundai,Tucson,2021,FT297,Black,True
28,107,Ford,Escape,2021,RL982,Red,True
29,116,Honda,Civic,2017,DJ733,White,True
30,118,Ford,Fusion,2023,IR147,Black,True
31,126,Ford,Escape,2022,MS727,Red,True
32,127,Hyundai,Elantra,2025,RH942,Red,True
33,129,Toyota,Camry,2019,BL751,Black,True
34,133,Toyota,Corolla,2021,FD547,Silver,True
35,137,Tesla,Model Y,2026,NS346,Red,True
36,138,Toyota,Corolla,2021,AG383,Black,True
37,141,Ford,Focus,2021,SZ831,Black,True
38,153,Tesla,Model Y,2021,FF139,Silver,True
39,154,Nissan,Sentra,2020,AF581,Red,True
40,156,Ford,Fusion,2024,XN578,Black,True
41,159,Ford,Focus,2018,SZ667,Black,True
42,167,Toyota,Camry,2025,RA600,Red,True
43,179,Honda,Accord,2019,DI535,Silver,True
44,187,Honda,Civic,2015,FV802,Silver,False
45,189,Toyota,Corolla,2023,MI738,Silver,False
46,190,Ford,Fusion,2018,PC593,Red,True
47,201,Toyota,Prius,2022,BN284,Silver,True
48,208,Honda,CR-V,2023,RA268,Silver,True
49,216,Hyundai,Elantra,2020,CO452,White,True
50,219,Ford,Focus,2023,OY243,Silver,True
51,225,Ford,Escape,2018,AG219,Silver,True
52,229,Hyundai,Elantra,2022,ZC194,Red,True
53,232,Nissan,Altima,2026,MG113,Silver,True
54,242,Tesla,Model 3,2023,OY998,Grey,True
55,243,Tesla,Model 3,2026,BK467,Black,True
56,244,Toyota,Camry,2026,VA122,Black,True
57,252,Nissan,Sentra,2026,BJ381,Silver,True
58,259,Hyundai,Tucson,2018,SG718,White,True
59,260,Honda,Accord,2026,GF516,Red,True
60,264,Hyundai,Tucson,2024,NO685,Silver,True
61,267,Tesla,Model Y,2024,FI957,White,True
